2,1,,,,,,,,
3,1,,,,,,,,
4,1,,,,,,,,
5,2,1,2,3,,,,,
6,1,1,4,5,,,,,
7,1,2,3,4,1,2,3,4,5
8,,1,2,7,2,4,5,6,7
9,4,3,5,6,2,3,6,7,8
10,3,2,3,8,1,2,5,6,7
11,2,1,8,10,1,2,5,7,9
12,,1,2,10,2,6,8,9,10
13,,3,5,8,1,2,5,10,12
14,,1,11,12,1,3,4,5,11
15,1,3,4,12,5,6,7,8,13
16,,10,12,15,2,9,12,13,14
17,3,4,12,16,2,5,6,8,13
18,7,4,11,16,1,4,7,8,10
19,,3,9,10,6,12,13,16,18
20,3,2,7,13,1,10,14,16,18
21,2,3,4,9,6,8,14,18,19
22,1,3,7,12,2,4,9,14,21
23,5,4,8,15,5,11,12,13,17
24,,2,5,11,3,6,7,16,23
25,3,7,12,13,7,10,13,15,23
26,,13,15,23,1,6,15,17,24
27,,17,22,23,6,11,17,18,19
28,3,5,8,24,5,11,21,24,27
29,2,2,6,16,3,11,15,16,22
30,,9,10,27,11,12,24,28,29
31,3,8,23,25,1,8,10,14,16
32,,2,7,16,1,3,12,17,30
33,13,11,16,26,1,8,17,19,32
34,,8,12,17,4,7,14,20,31
35,2,9,17,27,2,21,23,31,32
36,11,7,12,33,6,17,25,26,28
37,,2,14,22,3,21,30,31,33
38,,5,6,27,6,9,11,20,36
39,4,16,23,35,2,13,15,36,38
40,,23,27,29,6,7,18,28,36
41,3,27,31,32,11,12,20,32,40
42,,30,31,34,1,8,14,24,27
43,,5,22,27,8,25,30,32,35
44,,18,35,39,5,16,25,40,43
45,,4,28,39,14,15,23,27,33
46,,18,31,40,21,23,24,40,44
47,5,11,24,32,5,17,19,32,42
48,,1,9,19,5,12,27,29,43
49,9,16,18,24,8,39,41,42,45
50,,17,31,34,5,6,16,21,36
51,,15,24,46,12,15,22,24,25
